,LotArea,Street,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,CentralAir,MoSold,YrSold,SalePrice
0,8450,1,0,7,5,2003,2003,1,2,2008,208500
1,9600,1,0,6,8,1976,1976,1,5,2007,181500
2,11250,1,0,7,5,2001,2002,1,9,2008,223500
3,9550,1,0,7,5,1915,1970,1,2,2006,140000
4,14260,1,0,8,5,2000,2000,1,12,2008,250000
5,14115,1,0,5,5,1993,1995,1,10,2009,143000
6,10084,1,0,8,5,2004,2005,1,8,2007,307000
7,10382,1,0,7,6,1973,1973,1,11,2009,200000
8,6120,1,0,7,5,1931,1950,1,4,2008,129900
9,7420,1,1,5,6,1939,1950,1,1,2008,118000
10,11200,1,0,5,5,1965,1965,1,2,2008,129500
11,11924,1,0,9,5,2005,2006,1,7,2006,345000
12,12968,1,0,5,6,1962,1962,1,9,2008,144000
13,10652,1,0,7,5,2006,2007,1,8,2007,279500
14,10920,1,0,6,5,1960,1960,1,5,2008,157000
15,6120,1,0,7,8,1929,2001,1,7,2007,132000
16,11241,1,0,6,7,1970,1970,1,3,2010,149000
17,10791,1,2,4,5,1967,1967,1,10,2006,90000
18,13695,1,0,5,5,2004,2004,1,6,2008,159000
19,7560,1,0,5,6,1958,1965,1,5,2009,139000
20,14215,1,0,8,5,2005,2006,1,11,2006,325300
21,7449,1,0,7,7,1930,1950,1,6,2007,139400
22,9742,1,0,8,5,2002,2002,1,9,2008,230000
23,4224,1,4,5,7,1976,1976,1,6,2007,129900
24,8246,1,0,5,8,1968,2001,1,5,2010,154000
25,14230,1,0,8,5,2007,2007,1,7,2009,256300
26,7200,1,0,5,7,1951,2000,1,5,2010,134800
27,11478,1,0,8,5,2007,2008,1,5,2010,306000
28,16321,1,0,5,6,1957,1997,1,12,2006,207500
29,6324,1,0,4,6,1927,1950,0,5,2008,68500
30,8500,1,0,4,4,1920,1950,0,7,2008,40000
31,8544,1,0,5,6,1966,2006,1,6,2008,149350
32,11049,1,0,8,5,2007,2007,1,1,2008,179900
33,10552,1,0,5,5,1959,1959,1,4,2010,165500
34,7313,1,4,9,5,2005,2005,1,8,2007,277500
35,13418,1,0,8,5,2004,2005,1,9,2006,309000
36,10859,1,0,5,5,1994,1995,1,6,2009,145000
37,8532,1,0,5,6,1954,1990,1,10,2009,153000
38,7922,1,0,5,7,1953,2007,1,1,2010,109000
39,6040,1,2,4,5,1955,1955,0,6,2008,82000
40,8658,1,0,6,5,1965,1965,1,12,2006,160000
41,16905,1,0,5,6,1959,1959,1,7,2007,170000
42,9180,1,0,5,7,1983,1983,1,12,2007,144000
43,9200,1,0,5,6,1975,1980,1,7,2008,130250
44,7945,1,0,5,6,1959,1959,1,5,2006,141000
45,7658,1,4,9,5,2005,2005,1,2,2010,319900
46,12822,1,0,7,5,2003,2003,1,8,2009,239686
47,11096,1,0,8,5,2006,2006,1,7,2007,249700
48,4456,1,1,4,5,1920,2008,1,6,2009,113000
49,7742,1,0,5,7,1966,1966,1,1,2007,127000
50,13869,1,0,6,6,1997,1997,1,7,2007,177000
51,6240,1,0,6,6,1934,1950,1,9,2006,114500
52,8472,0,2,5,5,1963,1963,0,5,2010,110000
53,50271,1,0,9,5,1981,1987,1,11,2006,385000
54,7134,1,0,5,5,1955,1955,1,2,2007,130000
55,10175,1,0,6,5,1964,1964,1,7,2008,180500
56,2645,1,3,8,5,1999,2000,1,8,2009,172500
57,11645,1,0,7,5,2004,2004,1,8,2006,196500
58,13682,1,0,10,5,2006,2006,1,10,2006,438780
59,7200,1,0,5,7,1972,1972,1,1,2008,124900
60,13072,1,0,6,5,2004,2004,1,5,2006,158000
61,7200,1,0,5,7,1920,1996,0,3,2007,101000
62,6442,1,4,8,5,2006,2006,1,10,2007,202500
63,10300,1,0,7,6,1921,1950,1,4,2010,140000
64,9375,1,0,7,5,1997,1998,1,2,2009,219500
65,9591,1,0,8,5,2004,2005,1,10,2007,317000
66,19900,1,0,7,5,1970,1989,1,7,2010,180000
67,10665,1,0,7,5,2003,2003,1,6,2007,226000
68,4608,1,0,4,6,1945,1950,1,6,2010,80000
69,15593,1,0,7,4,1953,1953,1,7,2006,225000
70,13651,1,0,7,6,1973,1973,1,2,2007,244000
71,7599,1,0,4,6,1982,2006,1,6,2007,129500
72,10141,1,0,7,5,1998,1998,1,12,2009,185000
73,10200,1,0,5,7,1954,2003,1,5,2010,144900
74,5790,1,0,3,6,1915,1950,0,5,2010,107400
75,1596,1,3,4,5,1973,1973,1,11,2009,91000
76,8475,1,0,4,7,1956,1956,1,4,2008,135750
77,8635,1,0,5,5,1948,2001,1,1,2008,127000
78,10778,1,2,4,5,1968,1968,0,4,2010,136500
79,10440,1,0,5,6,1910,1981,1,5,2009,110000
80,13000,1,0,6,6,1968,1968,1,6,2009,193500
81,4500,1,4,6,5,1998,1998,1,3,2006,153500
82,10206,1,0,8,5,2007,2007,1,10,2008,245000
83,8892,1,0,5,5,1960,1960,1,7,2007,126500
84,8530,1,0,7,5,1995,1996,1,5,2009,168500
85,16059,1,0,8,5,1991,1992,1,4,2006,260000
86,11911,1,0,6,5,2005,2005,1,3,2009,174000
87,3951,1,4,6,5,2009,2009,1,6,2009,164500
88,8470,1,0,3,2,1915,1982,0,10,2009,85000
89,8070,1,0,4,5,1994,1995,1,8,2007,123600
90,7200,1,0,4,5,1950,1950,1,7,2006,109900
91,8500,1,0,5,3,1961,1961,1,12,2006,98600
92,13360,1,0,5,7,1921,2006,1,8,2009,163500
93,7200,1,1,6,6,1910,1998,0,11,2007,133900
94,9337,1,0,6,5,1997,1997,1,5,2007,204750
95,9765,1,0,6,8,1993,1993,1,4,2009,185000
96,10264,1,0,7,5,1999,1999,1,8,2006,214000
97,10921,1,0,4,5,1965,1965,1,5,2007,94750
98,10625,1,0,5,5,1920,1950,0,5,2010,83000
99,9320,1,0,4,5,1959,1959,1,1,2010,128950
100,10603,1,0,6,7,1977,2001,1,2,2010,205000
101,9206,1,0,6,5,1985,1985,1,6,2010,178000
102,7018,1,2,5,5,1979,1979,1,6,2009,118964
103,10402,1,0,7,5,2009,2009,1,5,2010,198900
104,7758,1,0,7,4,1931,1950,1,6,2007,169500
105,9375,1,0,8,5,2003,2004,1,8,2008,250000
106,10800,1,0,4,7,1885,1995,1,8,2007,100000
107,6000,1,0,5,5,1948,1950,1,4,2008,115000
108,8500,1,0,5,7,1919,2005,0,8,2007,115000
109,11751,1,0,6,6,1977,1977,1,1,2010,190000
110,9525,1,0,6,4,1954,1972,1,10,2006,136900
111,7750,1,0,7,5,2000,2000,1,4,2010,180000
112,9965,1,0,7,5,2007,2007,1,10,2007,383970
113,21000,1,0,6,5,1953,1953,1,10,2007,217000
114,7259,1,0,6,8,1945,2002,1,7,2007,259500
115,3230,1,4,6,5,1999,1999,1,6,2007,176000
116,11616,1,0,5,5,1962,1962,1,9,2009,139000
117,8536,1,0,5,5,2006,2007,1,4,2007,155000
118,12376,1,0,7,5,1990,1990,1,5,2010,320000
119,8461,1,0,6,5,2005,2006,1,7,2006,163990
120,21453,1,0,6,5,1969,1969,1,10,2006,180000
121,6060,1,0,4,5,1939,1950,1,6,2007,100000
122,9464,1,0,6,7,1958,1958,1,6,2008,136000
123,7892,1,4,6,5,1993,1993,1,3,2008,153900
124,17043,1,0,6,5,1979,1998,1,1,2009,181000
125,6780,1,1,6,8,1935,1982,0,6,2006,84500
126,4928,1,4,6,5,1976,1976,1,2,2007,128000
127,4388,1,0,5,7,1930,1950,1,6,2007,87000
128,7590,1,0,6,5,1966,1966,1,7,2006,155000
129,8973,1,0,5,7,1958,1991,1,7,2006,150000
130,14200,1,0,7,6,1966,1966,1,5,2006,226000
131,12224,1,0,6,5,2000,2000,1,7,2009,244000
132,7388,1,0,5,6,1959,2002,1,7,2007,150750
133,6853,1,0,8,5,2001,2002,1,6,2009,220000
134,10335,1,0,5,6,1968,1993,1,7,2006,180000
135,10400,1,0,7,6,1970,1970,1,5,2008,174000
136,10355,1,0,5,5,1967,1967,1,7,2007,143000
137,11070,1,2,7,5,1988,1989,1,7,2006,171000
138,9066,1,0,8,5,1999,2000,1,12,2008,230000
139,15426,1,0,6,5,1997,1997,1,8,2009,231500
140,10500,1,0,4,5,1971,1971,1,4,2010,115000
141,11645,1,0,7,5,2005,2005,1,1,2006,260000
142,8520,1,0,5,4,1952,1952,1,6,2010,166000
143,10335,1,0,7,5,1999,1999,1,6,2009,204000
144,9100,1,2,5,5,1963,1963,1,11,2006,125000
145,2522,1,3,6,5,2004,2006,1,4,2006,130000
146,6120,1,0,5,7,1931,1993,1,11,2009,105000
147,9505,1,0,7,5,2001,2001,1,5,2010,222500
148,7500,1,0,7,5,2004,2005,1,4,2008,141000
149,6240,1,0,5,4,1936,1950,1,4,2006,115000
150,10356,1,0,5,6,1975,1975,1,1,2007,122000
151,13891,1,0,8,5,2007,2008,1,1,2008,372402
152,14803,1,0,6,5,1971,1971,1,6,2006,190000
153,13500,1,0,6,7,1960,1975,1,3,2008,235000
154,11340,1,0,6,5,1923,1950,1,3,2006,125000
155,9600,1,0,6,5,1924,1950,0,4,2008,79000
156,7200,1,0,5,7,1950,1950,1,6,2006,109500
157,12003,1,0,8,5,2009,2010,1,5,2010,269500
158,12552,1,0,7,5,2004,2005,1,5,2010,254900
159,19378,1,0,7,5,2005,2006,1,3,2006,320000
160,11120,1,0,6,6,1984,1984,1,6,2008,162500
161,13688,1,0,9,5,2003,2004,1,3,2008,412500
162,12182,1,0,7,5,2005,2005,1,5,2010,220000
163,5500,1,0,4,6,1956,1956,1,4,2007,103200
164,5400,1,0,6,7,1926,2004,1,10,2007,152000
165,10106,1,1,5,7,1940,1999,1,9,2008,127500
166,10708,1,0,5,5,1955,1993,1,11,2009,190000
167,10562,1,0,8,5,2007,2007,1,11,2007,325624
168,8244,1,0,7,5,2004,2004,1,5,2007,183500
169,16669,1,0,8,6,1981,1981,1,1,2006,228000
170,12358,1,0,5,6,1941,1950,1,5,2007,128500
171,31770,1,0,6,5,1960,1960,1,5,2010,215000
172,5306,1,4,7,7,1987,1987,1,6,2006,239000
173,10197,1,0,6,5,1961,1961,1,6,2008,163000
174,12416,1,0,6,5,1986,1986,1,11,2008,184000
175,12615,1,0,6,7,1950,2001,1,6,2007,243000
176,10029,1,0,6,5,1988,1989,1,9,2007,211000
177,13650,1,0,5,5,1958,1958,1,7,2006,172500
178,17423,1,0,9,5,2008,2009,1,7,2009,501837
179,8520,1,0,5,6,1923,2006,1,7,2007,100000
180,2117,1,3,6,5,2000,2000,1,6,2007,177000
181,7588,1,0,7,6,1920,1950,1,7,2006,200100
182,9060,1,0,5,6,1957,2006,1,6,2007,120000
183,11426,1,0,7,5,2003,2003,1,6,2008,200000
184,7438,1,0,5,8,1908,1991,1,6,2006,127000
185,22950,1,0,10,9,1892,1993,1,6,2006,475000
186,9947,1,0,7,5,1990,1991,1,6,2009,173000
187,10410,1,0,5,7,1916,1987,1,8,2009,135000
188,7018,1,2,5,5,1979,1979,1,6,2009,153337
189,4923,1,4,8,5,2001,2002,1,8,2008,286000
190,10570,1,0,8,8,1932,1994,1,12,2007,315000
191,7472,1,0,7,9,1972,2004,1,6,2007,184000
192,9017,1,0,7,5,1999,1999,1,9,2009,192000
193,2522,1,3,7,5,2004,2004,1,5,2006,130000
194,7180,1,0,5,7,1972,1972,1,5,2008,127000
195,2280,1,3,6,6,1976,1976,1,7,2009,148500
196,9416,1,0,7,5,2007,2007,1,9,2007,311872
197,25419,1,0,8,4,1918,1990,1,3,2006,235000
198,5520,1,0,6,6,1912,1950,1,7,2009,104000
199,9591,1,0,8,5,2004,2005,1,1,2009,274900
200,8546,1,0,4,5,2003,2004,1,3,2010,140000
201,10125,1,0,6,6,1977,1977,1,2,2008,171500
202,7000,1,0,6,6,1924,1950,1,5,2006,112000
203,4438,1,4,6,5,2004,2004,1,1,2008,149000
204,3500,1,0,5,7,1947,1950,1,4,2009,110000
205,11851,1,0,7,5,1990,1990,1,5,2009,180500
206,13673,1,0,5,5,1962,1962,1,3,2007,143900
207,12493,1,0,4,5,1960,1960,1,4,2008,141000
208,14364,1,0,7,5,1988,1989,1,4,2007,277000
209,8250,1,0,6,7,1964,1964,1,7,2008,145000
210,5604,1,0,5,6,1925,1950,0,4,2008,98000
211,10420,1,0,6,5,2009,2009,1,3,2010,186000
212,8640,1,0,7,5,2009,2009,1,7,2009,252678
213,13568,1,0,5,5,1995,1995,1,7,2006,156000
214,10900,1,0,6,7,1977,1977,1,3,2010,161750
215,10011,1,0,5,6,1957,1996,1,5,2006,134450
216,8450,1,0,7,5,2004,2004,1,4,2008,210000
217,9906,1,0,4,4,1925,1950,0,9,2006,107000
218,15660,1,0,7,9,1939,2006,1,5,2008,311500
219,3010,1,4,7,5,2005,2006,1,3,2006,167240
220,8990,1,0,7,5,2006,2006,1,4,2006,204900
221,8068,1,0,6,5,2002,2002,1,12,2009,200000
222,11475,1,0,6,6,1975,1975,1,2,2006,179900
223,10500,1,0,4,6,1971,1971,1,3,2009,97000
224,13472,1,0,10,5,2003,2003,1,6,2009,386250
225,1680,1,3,5,5,1971,1971,1,5,2009,112000
226,9950,1,0,7,5,1995,1995,1,6,2007,290000
227,1869,1,3,6,6,1970,1970,1,9,2008,106000
228,8521,1,0,5,5,1967,1967,1,5,2010,125000
229,3182,1,4,7,5,2005,2006,1,5,2009,192500
230,8760,1,0,6,6,1959,1959,1,4,2010,148000
231,15138,1,0,8,5,1995,1996,1,7,2009,403000
232,1680,1,3,6,5,1972,1972,1,6,2006,94500
233,10650,1,0,5,6,1976,1976,1,2,2010,128200
234,7851,1,0,6,5,2002,2002,1,5,2010,216500
235,1680,1,4,6,3,1971,1971,1,8,2008,89500
236,8773,1,0,7,5,2004,2004,1,5,2010,185500
237,9453,1,0,7,7,1993,2003,1,2,2010,194500
238,12030,1,0,8,5,2007,2007,1,12,2007,318000
239,8741,1,0,6,4,1945,1950,1,4,2010,113000
240,9000,1,0,8,5,2008,2008,1,4,2010,262500
241,3880,1,0,5,9,1945,1997,1,8,2007,110500
242,5000,1,0,5,4,1900,1950,0,4,2006,79000
243,10762,1,4,6,6,1980,1980,1,4,2009,120000
244,8880,1,0,7,5,1994,2002,1,5,2010,205000
245,10400,1,0,7,5,1988,1988,1,6,2006,241500
246,9142,1,1,6,8,1910,1950,0,4,2006,137000
247,11310,1,0,6,5,1954,1954,1,6,2006,140000
248,11317,1,0,7,5,2003,2003,1,9,2007,180000
249,159000,1,0,6,7,1958,2006,1,6,2007,277000
250,5350,1,0,3,2,1940,1966,1,5,2010,76500
251,4750,1,4,8,5,2006,2007,1,12,2007,235000
252,8366,1,0,6,5,2004,2004,1,12,2008,173000
253,9350,1,0,6,7,1964,1991,1,10,2007,158000
254,8400,1,0,5,6,1957,1957,1,6,2010,145000
255,8738,1,0,7,5,1999,1999,1,2,2006,230000
256,8791,1,0,6,5,2003,2003,1,5,2008,207500
257,8814,1,0,7,5,2006,2006,1,3,2009,220000
258,12435,1,0,7,5,2001,2001,1,5,2008,231500
259,12702,1,0,5,5,1956,1956,1,12,2008,97000
260,19296,1,0,6,5,1962,1962,1,5,2009,176000
261,9588,1,0,8,5,2007,2007,1,11,2007,276000
262,8471,1,0,6,7,1977,1995,1,7,2006,151000
263,5500,1,0,5,7,1929,2001,1,4,2010,130000
264,5232,1,0,5,5,1925,2004,0,6,2008,73000
265,12090,1,0,6,6,1981,1981,1,6,2008,175500
266,11207,1,0,6,5,1997,1997,1,6,2006,185000
267,8400,1,0,5,8,1939,1997,1,7,2008,179500
268,6900,1,0,5,6,1940,1955,1,2,2008,120500
269,7917,1,0,6,7,1976,1976,1,5,2007,148000
270,10728,1,0,8,5,2006,2006,1,8,2006,266000
271,39104,1,0,7,7,1954,2005,1,4,2008,241500
272,11764,1,0,8,7,1999,2007,1,4,2010,290000
273,9600,1,0,6,6,1958,1988,1,4,2009,139000
274,8314,1,0,5,7,1982,1982,1,6,2007,124500
275,7264,1,0,7,7,1925,2007,0,10,2009,205000
276,9196,1,0,7,5,2003,2003,1,4,2010,201000
277,19138,1,0,4,5,1951,1951,1,6,2010,141000
278,14450,1,0,9,5,2006,2007,1,5,2007,415298
279,10005,1,0,7,5,1977,1977,1,3,2008,192000
280,11287,1,0,7,6,1989,1989,1,1,2007,228500
281,7200,1,0,6,5,2006,2006,1,5,2006,185000
282,5063,1,3,7,5,2007,2008,1,4,2009,207500
283,9612,1,0,8,5,2008,2009,1,12,2009,244600
284,8012,1,4,6,5,1992,1992,1,7,2007,179200
285,4251,1,4,7,5,2006,2007,1,6,2007,164700
286,9786,1,0,6,7,1962,1981,1,6,2006,159000
287,8125,1,0,4,4,1971,1971,1,6,2006,88000
288,9819,1,0,5,5,1967,1967,1,2,2010,122000
289,8730,1,0,6,7,1915,2003,1,7,2007,153575
290,15611,1,0,8,5,2006,2006,1,7,2006,233230
291,5687,1,1,5,6,1912,2000,0,3,2008,135900
292,11409,1,0,5,4,1949,2008,1,1,2009,131000
293,16659,1,0,7,7,1977,1994,1,3,2006,235000
294,9600,1,0,6,5,1953,1953,1,10,2009,167000
295,7937,1,0,6,6,1984,1984,1,3,2006,142500
296,13710,1,0,5,5,1950,1950,1,6,2007,152000
297,7399,1,0,7,5,1997,1998,1,6,2007,239000
298,11700,1,0,6,6,1968,1968,1,6,2007,175000
299,14000,1,0,6,8,1950,2004,1,8,2009,158500
300,15750,1,1,5,5,1953,1953,1,6,2006,157000
301,16226,1,0,8,5,1998,1999,1,5,2007,267000
302,13704,1,0,7,5,2001,2002,1,1,2006,205000
303,9800,1,0,5,7,1972,1972,1,7,2006,149900
304,18386,1,0,7,9,1880,2002,1,5,2008,295000
305,10386,1,0,8,5,2004,2005,1,7,2007,305900
306,13474,1,0,7,5,1990,1991,1,6,2007,225000
307,7920,1,0,6,7,1920,1950,1,3,2008,89500
308,12342,1,0,4,5,1940,1950,1,3,2009,82500
309,12378,1,0,9,5,2003,2004,1,11,2006,360000
310,7685,1,0,6,5,1993,1994,1,5,2006,165600
311,8000,1,0,6,6,1948,2002,1,5,2009,132000
312,7800,1,1,5,7,1939,1950,1,5,2006,119900
313,215245,1,0,7,5,1965,1965,1,6,2009,375000
314,9600,1,0,7,7,1925,1990,1,8,2006,178000
315,7795,1,0,7,5,2004,2005,1,7,2009,188500
316,13005,1,0,7,7,1980,1980,1,8,2009,260000
317,9000,1,0,8,5,2006,2006,1,12,2007,270000
318,9900,1,0,7,5,1993,1993,1,4,2009,260000
319,14115,1,0,7,5,1980,1980,1,6,2009,187500
320,16259,1,0,9,5,2006,2006,1,9,2006,342643
321,12099,1,0,8,5,2004,2004,1,6,2007,354000
322,10380,1,0,7,5,1986,1987,1,8,2007,301000
323,5820,1,0,3,8,1955,2005,1,7,2006,126175
324,11275,1,0,7,7,1967,2007,1,6,2010,242000
325,5000,1,0,5,6,1941,1950,0,12,2007,87000
326,10846,1,4,8,5,1993,1993,1,5,2008,324000
327,11600,1,0,6,5,1960,1960,1,4,2006,145250
328,11888,1,0,6,6,1916,1994,0,7,2009,214500
329,6402,1,0,5,5,1920,1950,0,7,2009,78000
330,10624,1,2,5,4,1964,1964,1,11,2007,119000
331,8176,1,0,5,6,1958,1992,1,8,2007,139000
332,10655,1,0,8,5,2003,2004,1,10,2009,284000
333,8198,1,4,7,5,2004,2004,1,7,2008,207000
334,9042,1,0,6,5,1998,1998,1,7,2008,192000
335,164660,0,1,5,6,1965,1965,1,8,2008,228950
336,14157,1,0,9,5,2005,2006,1,7,2007,377426
337,9135,1,0,7,5,2002,2003,1,12,2008,214000
338,14145,1,0,7,7,1984,1998,1,5,2006,202500
339,12400,1,0,6,7,1958,1998,1,6,2009,155000
340,14191,1,0,8,5,2002,2002,1,4,2010,202900
341,8400,1,0,4,4,1950,1950,1,9,2009,82000
342,8544,1,2,3,4,1949,1950,0,5,2006,87500
343,8849,1,4,9,5,2005,2005,1,7,2008,266000
344,2592,1,4,5,3,1976,1976,1,4,2010,85000
345,6435,1,0,6,5,1939,1950,1,10,2006,140200
346,12772,1,0,6,8,1960,1998,1,4,2007,151500
347,17600,1,0,6,5,1960,1960,1,12,2009,157500
348,2448,1,3,7,5,2003,2004,1,10,2008,154000
349,20431,1,0,9,5,2005,2006,1,4,2006,437154
350,7820,1,4,9,5,2007,2007,1,12,2007,318061
351,5271,1,0,7,5,1986,1986,1,12,2006,190000
352,9084,1,0,5,6,1941,1950,0,3,2008,95000
353,8520,1,0,6,8,1928,2003,1,5,2010,105900
354,8400,1,0,6,5,1940,2000,1,6,2006,140000
355,11249,1,0,6,5,1995,1995,1,8,2007,177500
356,9248,1,0,6,6,1992,1992,1,7,2009,173000
357,4224,1,4,5,5,1976,1976,1,8,2007,134000
358,6930,1,0,5,4,1958,1958,1,7,2006,130000
359,12011,1,0,8,5,1998,1998,1,6,2006,280000
360,7540,1,0,6,6,1978,1978,1,6,2007,156000
361,9144,1,0,5,5,1940,1982,1,7,2008,145000
362,7301,1,0,7,5,2003,2003,1,7,2009,198500
363,1680,1,3,6,8,1972,2007,1,5,2009,118000
364,18800,1,0,6,5,1976,1976,1,7,2006,190000
365,10690,1,0,5,7,1920,1997,1,7,2009,147000
366,9500,1,0,6,5,1963,1963,1,7,2009,159000
